date,information_coefficient,p_value
2021-05-20,-0.06489795918367347,0.5233441705476194
2021-05-21,-0.09371675943104515,0.35618435057261355
2021-05-24,-0.06453927025355596,0.5256474069437567
2021-05-25,0.03303648732220161,0.7454665293591428
2021-05-26,-0.03166357452071737,0.7557052716975399
2021-05-27,-0.19061224489795917,0.0587783934393669
2021-05-28,-0.16032158317872605,0.11292258615270384
2021-06-01,-0.27616573902288183,0.005658453753955267
2021-06-02,-0.2777241805813234,0.005382557674935805
2021-06-03,-0.22912801484230055,0.02253186206698174
2021-06-04,-0.1892517006802721,0.060640479190393635
2021-06-07,-0.14272108843537412,0.15876204555540216
2021-06-08,-0.15026592455163884,0.13765459734290758
2021-06-09,-0.0012121212121212121,0.9904995848981044
2021-06-10,0.13741496598639455,0.17499069520807606
2021-06-11,-0.016672850958565244,0.8698907434305567
2021-06-14,-0.012677798392084105,0.9008834135976491
2021-06-15,-0.08650587507730363,0.39455343670817433
2021-06-16,-0.22681508967223252,0.023968788106411464
2021-06-17,-0.13654916512059367,0.17775040772668965
2021-06-18,0.054792826221397646,0.5901195935472325
2021-06-21,0.18493506493506492,0.06686913161292478
2021-06-22,0.03742733457019171,0.7130248593757647
2021-06-23,-0.15225726654298083,0.13245601900920995
2021-06-24,-0.22144712430426713,0.027607885676523645
2021-06-25,-0.2289424860853432,0.022644339140990215
2021-06-28,-0.1985281385281385,0.048850106307873835
2021-06-29,-0.13288806431663575,0.1897730065472817
2021-06-30,-0.11442176870748298,0.25943327437544506
2021-07-01,-0.08820037105751391,0.3853228092932832
2021-07-02,-0.026641929499072355,0.7935036362534065
2021-07-06,0.11842918985776128,0.2430068419432275
2021-07-07,0.22003710575139146,0.028638126628374592
2021-07-08,0.3899319727891156,6.617838897138496e-05
2021-07-09,0.21951762523191093,0.02902581760542708
2021-07-12,0.1135064935064935,0.26328874953204623
2021-07-13,0.17951762523191092,0.07540933577618013
2021-07-14,0.21532467532467534,0.03232089800134396
2021-07-15,0.22153370439084727,0.027545664100481385
2021-07-16,0.2933951762523191,0.0032053831591109592
2021-07-19,0.22708719851576992,0.02379577663980412
2021-07-20,0.14763141620284476,0.14476833549866577
2021-07-21,-0.11976499690785404,0.23769491093225192
2021-07-22,-0.028286951144094002,0.7810639995535278
2021-07-23,0.09922077922077921,0.3285147349741625
2021-07-26,0.12301793444650587,0.2250986654557648
2021-07-27,0.27273964131106987,0.006309555634452509
2021-07-28,0.21417439703153987,0.033278153149134584
2021-07-29,0.2673098330241187,0.007477848065010282
2021-07-30,0.1945207173778602,0.05368767241596801
2021-08-02,0.15004329004329003,0.1382452963385419
2021-08-03,0.06373531230674087,0.5308283046497773
2021-08-04,0.02445269016697588,0.810138678814294
2021-08-05,0.0003710575139146567,0.9970916483473202
2021-08-06,-0.0860482374768089,0.3970687797859812
2021-08-09,-0.16545454545454547,0.1017046014324984
2021-08-10,-0.1021768707482993,0.31423655611476675
2021-08-11,-0.10700061842918984,0.29181361372756703
2021-08-12,-0.059579468150896715,0.5580098005887327
2021-08-13,-0.03324675324675325,0.7439022842364366
2021-08-16,0.10022263450834877,0.323629995692686
2021-08-17,0.12546691403834262,0.21593054006134246
2021-08-18,0.09542362399505257,0.3474530463690624
2021-08-19,0.11332096474953617,0.2640749850200138
2021-08-20,0.07463203463203463,0.4628431785559015
2021-08-23,0.1292764378478664,0.20220052437469302
2021-08-24,0.16164502164502162,0.10994233832724594
2021-08-25,0.06106369820655535,0.5482260384517719
2021-08-26,0.11788497217068646,0.24519433579934033
2021-08-27,-0.06742115027829312,0.5072874363990578
2021-08-30,-0.0526777983920841,0.6045695005450238
2021-08-31,-0.07179962894248608,0.4800410552908668
2021-09-01,0.027668521954236237,0.7857342724932627
2021-09-02,-0.01311069882498454,0.8975170250476766
2021-09-03,0.012813852813852814,0.8998252137716581
2021-09-07,-0.03778602350030921,0.710396232377269
2021-09-08,0.05821892393320964,0.5670510484747227
2021-09-09,0.03349412492269635,0.7420633273258057
2021-09-10,0.03748917748917749,0.7125714073812368
2021-09-13,0.031478045763760044,0.7570921754294955
2021-09-14,0.048930117501546064,0.6305494162314637
2021-09-15,0.06948670377241806,0.4943351768387
2021-09-16,0.12462585034013603,0.21904885803444474
2021-09-17,0.24896722325293755,0.012955388415501586
2021-09-20,0.3033889919604205,0.0022684107106104253
2021-09-21,0.3030921459492888,0.0022922252929970925
2021-09-22,0.2456400742115028,0.01425706045793931
2021-09-23,0.20055658627087197,0.04654227650470638
2021-09-24,0.20247371675943102,0.04444486141422351
2021-09-27,0.12932591218305506,0.20202643222983502
2021-09-28,0.1402968460111317,0.16603161630230479
2021-09-29,0.1903525046382189,0.05913022674696745
2021-09-30,0.23156315631563154,0.02044276391334263
2021-10-01,0.19180318031803179,0.055913795038533456
2021-10-04,0.21104110411041102,0.035058817001786445
2021-10-05,0.12085208520852082,0.23102512483665472
2021-10-06,0.1371977197719772,0.17345861801359638
2021-10-07,0.16956495649564954,0.0916865147934146
2021-10-08,0.14753075307530752,0.14297890867146934
2021-10-11,0.11308730873087307,0.2626058693816519
2021-10-12,0.03228322832283228,0.7498352493406211
2021-10-13,0.11164716471647164,0.2687713154408816
2021-10-14,0.10617461746174615,0.2930874846728846
2021-10-15,0.06149414941494149,0.543329560609651
2021-10-18,0.00564056405640564,0.9555832556013328
2021-10-19,-0.022586258625862582,0.8234955213868651
2021-10-20,0.01780978097809781,0.8603940223247042
2021-10-21,-0.012625262526252623,0.9007845942194007
2021-10-22,-0.002676267626762676,0.9789173597625622
2021-10-25,0.05134113411341133,0.6119504774020263
2021-10-26,0.025130513051305124,0.8039914335213926
2021-10-27,-0.12705670567056704,0.2077757339497891
